Publisher,Original_Keyword,Brand_Non_Brand,total_visits
bing,facial powder,NB,3179.0
google,best volumizing and lengthening mascara,NB,7.0
google,mascara for volume,NB,11.0
google,thickening mascara,NB,30.0
bing,water based mascara,NB,4.0
google,flawless foundation makeup,NB,1.0
google,foundation for olive skin,NB,15.0
bing,best mascara ever,NB,43.0
google,best foundation for fine lines,NB,21.0
google,foundation without parabens,NB,13.0
google,top 5 mascaras,NB,1.0
google,good mascara,NB,21.0
google,best foundation for skin,NB,5.0
bing,lash curlers,NB,13.0
bing,best mascaras for no clump,NB,3.0
google,foundation for mature skin,NB,21.0
google,black brown mascara,NB,3.0
bing,pressed powder,NB,29.0
google,best mascara for short lashes,NB,76.0
google,the best mascara,NB,31.0
google,long lasting foundation,NB,16.0
google,affordable foundation,NB,6.0
google,all day makeup foundation,NB,2.0
google,best coverage foundation,NB,3.0
google,foundation for over 60,NB,15.0
google,how to find the perfect foundation,NB,189.0
google,mascara long lashes,NB,5.0
google,new mascaras,NB,16.0
google,what the best mascara,NB,5.0
bing,best drugstore mascara,NB,5.0
google,waterproof mascara remover,NB,1.0
google,anti wrinkle foundation,NB,4.0
bing,best mascara brands,NB,150.0
bing,good waterproof mascara,NB,7.0
bing,new drugstore mascara,NB,2.0
google,best drugstore waterproof mascara,NB,2.0
google,foundation for even skin tone,NB,2.0
bing,mascara that lengthens,NB,18.0
bing,hypoallergenic mascara sensitive eyes,NB,1.0
google,best foundation for your skin,NB,7.0
google,foundation for dry skin,NB,114.0
google,powder foundation for oily skin,NB,2.0
google,powder compact,NB,76.0
google,best over the counter mascara,NB,17.0
bing,best mascara for sparse lashes,NB,3.0
google,best rated drugstore mascara,NB,7.0
google,really good mascara,NB,1.0
google,foundation for over 40,NB,8.0
google,all in one foundation,NB,13.0
bing,mascara for lower lashes,NB,2.0
google,best mascara for volume,NB,30.0
google,best mascara for long curly lashes,NB,2.0
google,sensitive skin bb cream,NB,1.0
google,liquid foundation makeup,NB,10.0
google,best mascara short lashes,NB,6.0
google,cccream,NB,35.0
google,best mascara for longer lashes,NB,16.0
google,best mascara for sparse lashes,NB,23.0
google,what is the best foundation for combination skin,NB,1.0
google,foundation cc cream,NB,1.0
google,foundation for skin tone,NB,24.0
google,powder highlighter,NB,42.0
google,best mascara for straight lashes,NB,36.0
google,water based mascara,NB,125.0
bing,the best mascara,NB,25.0
google,water resistant mascara,NB,5.0
bing,best mascara for straight lashes,NB,2.0
google,no clump mascara,NB,38.0
google,good volumizing mascara,NB,2.0
google,lash curling mascara,NB,11.0
google,top makeup foundations,NB,1.0
google,best foundation matte,NB,6.0
bing,eyelash curling mascara,NB,2.0
bing,mascara no flaking,NB,4.0
google,hypoallergenic mascara sensitive eyes,NB,4.0
google,right foundation for my skin,NB,21.0
google,foundation for combination skin,NB,21.0
google,what is cc cream,NB,7.0
bing,best thin eyelash mascara,NB,1.0
google,matte powder,NB,35.0
google,color mascara,NB,33.0
google,foundation oily skin,NB,21.0
bing,best rated mascara drugstore,NB,1.0
bing,best mascara that doesn t smudge,NB,3.0
bing,colored mascara,NB,8.0
google,drugstore mascara,NB,20.0
google,two sided mascara,NB,4.0
google,sheer foundation,NB,1.0
bing,best rated drugstore mascara,NB,7.0
bing,which mascara is the best,NB,29.0
google,mascara for bottom lash,NB,4.0
google,powder foundation,NB,270.0
google,matte foundation for oily skin,NB,10.0
google,mascara bottom lashes,NB,1.0
google,blending foundation,NB,8.0
google,best cc creams,NB,2.0
google,foundation skin tone,NB,50.0
bing,best mascaras,NB,838.0
bing,top mascara brands,NB,13.0
bing,setting powder,NB,11.0
google,best plumping mascara,NB,2.0
google,the best foundation for dry skin,NB,1.0
google,sensitive skin foundation,NB,30.0
google,the best foundation for sensitive skin,NB,2.0
google,face powder highlighter,NB,11.0
bing,the best mascaras,NB,10.0
google,best lengthening and volumizing mascara,NB,10.0
google,thick mascara,NB,13.0
google,makeup foundations,NB,35.0
google,healthy skin foundation,NB,1.0
bing,top rated mascara,NB,419.0
google,best lengthing mascara,NB,2.0
google,best foundation for sensitive combination skin,NB,2.0
google,best foundations for sensitive skin,NB,9.0
google,matte liquid foundation,NB,1.0
bing,best mascara lash lengthening,NB,7.0
bing,the mascara,NB,62.0
google,best pressed powder,NB,49.0
google,best mascara ever,NB,1.0
google,best light coverage foundation,NB,5.0
google,foundation for fine lines,NB,11.0
google,foundations for dry skin,NB,30.0
google,new mascara,NB,53.0
google,mascara for thin lashes,NB,15.0
google,best water resistant mascara,NB,3.0
google,best thick lash mascara,NB,4.0
google,lightweight foundation makeup,NB,2.0
bing,black mascara,NB,3.0
bing,best water based mascara,NB,1.0
bing,best pressed powder,NB,1.0
bing,mascara eyelash lengthening,NB,71.0
bing,best mascara for sensitive eyes,NB,59.0
bing,best mascara non clump,NB,1.0
bing,top 5 mascaras,NB,457.0
google,powder for oily skin,NB,88.0
google,longer lashes mascara,NB,7.0
google,mascara makeup,NB,14.0
google,foundation matte,NB,11.0
google,best wrinkle foundation,NB,6.0
google,best foundation for women over 30,NB,2.0
google,transfer resistant foundation,NB,15.0
bing,matte powder,NB,1.0
google,best mascaras for thick lashes,NB,13.0
google,the best volumizing mascara,NB,2.0
google,bold mascara,NB,8.0
google,false lashes,NB,665.0
google,light brown mascara,NB,27.0
google,top 10 mascara,NB,4.0
google,best volume mascara,NB,6.0
google,new makeup foundation,NB,2.0
google,best foundation aging,NB,1.0
google,healthy foundation,NB,38.0
google,best foundation for women over 60,NB,34.0
bing,mascara bottom lash,NB,3.0
google,best mascara for long lashes,NB,13.0
google,remove waterproof mascara,NB,17.0
bing,mascara for bottom lashes,NB,4.0
bing,Finishing Powder,NB,1359.0
bing,mascara,NB,773.0
google,oil free pressed powder,NB,2.0
google,what is bb cream,NB,162.0
google,foundations for sensitive skin,NB,27.0
google,eyelash curlers,NB,239.0
google,volume mascara,NB,274.0
bing,false eyelashes mascara,NB,27.0
bing,mascara primer,NB,15.0
google,foundation for wrinkles,NB,67.0
google,foundation for dark skin,NB,48.0
google,blue colored mascara,NB,2.0
google,mascara longer lashes,NB,1.0
google,long lash mascara,NB,14.0
google,mascara for bottom lashes,NB,31.0
google,the best mascara for short lashes,NB,6.0
google,makeup foundation,NB,115.0
google,best foundation anti wrinkle,NB,6.0
bing,mascara for sensitive eyes,NB,6.0
google,new drugstore mascara,NB,3.0
google,no flake mascara,NB,50.0
google,best foundation for combination skin,NB,17.0
google,foundation all day,NB,1.0
google,long lasting foundation for oily skin,NB,2.0
google,pressed face powder,NB,7.0
google,navy mascara,NB,5.0
google,makeup mascara,NB,2.0
bing,mascara for lengthening,NB,3.0
google,vegan foundation,NB,247.0
google,colored mascara,NB,58.0
google,flawless foundation,NB,18.0
google,best foundation for olive skin,NB,8.0
bing,volume mascara,NB,113.0
bing,types of mascara,NB,2.0
google,best foundation for dry skin,NB,148.0
google,matching foundation to skin tone,NB,55.0
bing,thick mascara,NB,2.0
bing,fiber mascara best,NB,5.0
google,best brand of mascara,NB,14.0
google,plumping foundation,NB,2.0
bing,best thickening mascara,NB,348.0
google,plumping mascara,NB,5.0
google,best anti-aging foundation,NB,189.0
bing,lash lengthening mascara,NB,523.0
google,double mascara,NB,2.0
google,setting powder,NB,1345.0
google,best mascara no clump,NB,5.0
google,best hypoallergenic mascara,NB,98.0
google,the best foundation makeup,NB,1.0
google,matte foundation for dry skin,NB,3.0
google,good foundation for oily skin,NB,5.0
bing,best mascara for thin lashes,NB,2.0
google,long lasting liquid foundation,NB,3.0
bing,lengthen mascara,NB,6.0
bing,fiber lashes mascara,NB,3.0
google,cruelty free foundation,NB,2.0
google,mascara with fiber,NB,71.0
google,best mascara for sensitive eyes,NB,10.0
bing,mascara defining,NB,1.0
google,mascara wand,NB,20.0
google,oil free bb cream,NB,1.0
google,mascara no flake,NB,8.0
google,thick lash mascara,NB,7.0
bing,which is the best mascara,NB,1441.0
google,sweat proof foundation,NB,114.0
google,drugstore mascara primer,NB,2.0
bing,waterproof mascara drugstore,NB,1.0
bing,best rated waterproof mascara,NB,7.0
google,mascara for false eyelashes,NB,29.0
google,fiber lash mascara,NB,63.0
google,what mascara is the best,NB,1.0
google,best foundation for sensitive skin,NB,50.0
bing,best drugstore waterproof mascara,NB,1.0
bing,best face powder makeup,NB,1049.0
bing,mascara black,NB,1.0
bing,makeup mascara,NB,3.0
google,best curling mascara,NB,26.0
google,foundation for normal skin,NB,4.0
bing,mascara for thin eyelashes,NB,10.0
google,light weight foundation,NB,26.0
google,foundation for dry aging skin,NB,4.0
google,foundation for my skin tone,NB,50.0
google,foundation for very oily skin,NB,2.0
bing,best mascara thin eyelashes,NB,2.0
google,non flaking mascara,NB,64.0
google,mascara for long lashes,NB,5.0
google,best mascara for thin lashes,NB,73.0
google,waterproof mascara drugstore,NB,3.0
google,luminous foundation,NB,6.0
bing,brown mascara,NB,28.0
bing,best curling mascara,NB,7.0
google,mascara primer,NB,218.0
google,best makeup foundation oily skin,NB,1.0
google,foundation for light skin,NB,18.0
google,good drugstore mascara,NB,4.0
google,drugstore fiber mascara,NB,2.0
google,cc cream foundation,NB,24.0
bing,black brown mascara,NB,1.0
bing,mascara blue,NB,1.0
google,african american foundation makeup,NB,12.0
bing,best volumizing mascara,NB,107.0
bing,best mascara,NB,383.0
google,medium foundation,NB,5.0
google,best rated waterproof mascara,NB,7.0
bing,mascara lash lengthening,NB,657.0
bing,hypoallergenic mascara,NB,43.0
google,best oil free powder,NB,1.0
google,waterproof and smudge proof mascara,NB,3.0
google,foundation for olive skin tone,NB,6.0
google,smooth foundation,NB,11.0
bing,best smudge proof mascara,NB,2.0
bing,best water resistant mascara,NB,1.0
google,mascara eye,NB,2.0
google,best waterproof mascara drugstore,NB,6.0
google,skin foundation,NB,46.0
google,foundation for women over 60,NB,11.0
google,oil free anti aging foundation,NB,1.0
bing,remove waterproof mascara,NB,4.0
google,best mascara for thin eyelashes,NB,25.0
google,fiber lashes mascara,NB,36.0
google,best oil free powder foundation,NB,3.0
bing,mascara for volume,NB,3.0
bing,highlighter face powder,NB,1.0
bing,lash volumizing,NB,1.0
google,highlighter powder,NB,78.0
google,best drugstore fiber mascara,NB,3.0
bing,mascara for lash lengthening,NB,38.0
bing,what the best mascara,NB,530.0
google,best mascaras for straight lashes,NB,33.0
google,cc creams,NB,47.0
google,mascara for thick lashes,NB,15.0
google,oil free foundations,NB,62.0
google,best cc cream,NB,4.0
google,mascara blue,NB,4.0
google,Finishing Powder,NB,187.0
google,non flake mascara,NB,46.0
google,best waterproof and smudge proof mascara,NB,13.0
google,sensitive eyes mascara,NB,6.0
google,full coverage foundation,NB,16.0
bing,waterproof and smudge proof mascara,NB,1.0
bing,mascara eyes,NB,2.0
google,foundation for sensitive skin,NB,108.0
google,best pressed face powder,NB,5.0
google,clump free mascara,NB,11.0
google,best mascaras for long lashes,NB,4.0
google,best mascara thin eyelashes,NB,3.0
bing,top ten mascaras,NB,4.0
google,loose powder,NB,301.0
google,non clumping mascara,NB,31.0
google,foundation for old skin,NB,37.0
bing,best mascara for short eyelashes,NB,3.0
bing,mascara for false eye lashes,NB,4.0
google,powder oily skin,NB,7.0
